source_url,title,year,source,dedicated_to,short_description,life_focus,focus_basis,life_signal,form_family,genre
https://hoerspiele.dra.de/detailansicht/1370331,Das Porträt,1994,DRA,Subject not identified,"The source lists this as a radio portrait or adaptation, but the named subject is not clear from the available metadata.",Unclear / needs review,manual override,portrait,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1370867,John Cage,1988,DRA,John Cage,A radio portrait of John Cage as a composer and radio-play maker.,Musician / composer,manual override,portrait,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1370870,Der Ohrenblick,1988,DRA,Luc Ferrari,"A radio portrait of Luc Ferrari, focusing on his work as a composer and radio-play maker.",Musician / composer,manual override,portrait; memory/testimony,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1370868,Mauricio Kagel,1988,DRA,Mauricio Kagel,"A radio portrait of Mauricio Kagel as a composer working between music, language, scene, film, and radio.",Musician / composer,manual override,portrait,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1371042,Oktober-Nächte/Les nuits d'octobre,1988,DRA,Subject not identified,The source metadata is too sparse to identify the subject reliably; this record needs manual review.,Ordinary / private person,Ordinary / private person,memory/testimony,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1371169,"Lieber Piet, liebe Sandra",1989,DRA,Bernhard Pfletschinger,"This record is based on letters, diaries, writings, or other self-records connected to Bernhard Pfletschinger.",Family / intimate life; Documentary / self-record subject,Family / intimate life | Documentary / self-record subject,diary/letters,other,Kurzhörspiel
https://hoerspiele.dra.de/detailansicht/1371171,Von Herren und Knechten,1989,DRA,Bernhard Pfletschinger,"This record is based on letters, diaries, writings, or other self-records connected to Bernhard Pfletschinger.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,other,Kurzhörspiel
https://hoerspiele.dra.de/detailansicht/1371100,And what about me? Ein Porträt des Autors Raymond Federman,1989,DRA,Herbert Kapfer,This record is a radio portrait of Herbert Kapfer. The metadata identifies the subject as a writer.,Author / literary figure,Author / literary figure,portrait; memory/testimony,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1371173,"Amore, Amore",1989,DRA,Bernhard Pfletschinger,"This record is based on letters, diaries, writings, or other self-records connected to Bernhard Pfletschinger.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,other,Kurzhörspiel
https://hoerspiele.dra.de/detailansicht/1371074,Die Courage des George Tabori,1989,DRA,Dieter Mayer-Simeth,This record is a radio portrait of Dieter Mayer-Simeth. The metadata identifies the subject as a writer.,Ordinary / private person,Ordinary / private person,portrait,feature / documentary,Originaltonhörspiel
https://hoerspiele.dra.de/detailansicht/1371238,Baal Babylon,1989,DRA,Fernando Arrabal,This record adapts autobiographical material by or about Fernando Arrabal. The metadata identifies the subject as a writer.,Ordinary / private person,Ordinary / private person,biography; autobiography,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1371889,Mein Spaziergang nach Syrakus - Briefe an einen Freund (2. Teil: Annäherungen),1985,DRA,Jürgen Liebing,"This record is based on letters, diaries, writings, or other self-records connected to Jürgen Liebing. The metadata identifies the subject as a writer.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1371603,New York City,1984,DRA,New York City,This record is a radio portrait of New York City.,Ordinary / private person,Ordinary / private person,portrait,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1371888,Mein Spaziergang nach Syrakus - Briefe an einen Freund (1. Teil: Entfernungen),1985,DRA,Jürgen Liebing,"This record is based on letters, diaries, writings, or other self-records connected to Jürgen Liebing. The metadata identifies the subject as a writer.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1372064,Franz Kafka hört noch immer Radio und telefoniert mit schönen Frauen. Porträt eines Mannes vor dem Sterben,1985,DRA,An unnamed centenarian before death,This record is a radio portrait of Elmar Podlech.,Ordinary / working life,Ordinary / working life,portrait,original radio play,Originalhörspiel
https://hoerspiele.dra.de/detailansicht/1372247,Fred von Hoerschelmann - Zum 10. Todestag des Hörspielautors,1986,DRA,Dieter Hasselblatt,This record is a radio portrait of Dieter Hasselblatt.,Ordinary / private person,Ordinary / private person,portrait,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1372252,Der Rundfunkmann Ernst Schnabel,1986,DRA,Ernst Schnabel,A radio portrait of Ernst Schnabel as a writer and radio figure.,Author / literary figure,manual override,portrait,other,Kurzhörspiel
https://hoerspiele.dra.de/detailansicht/1372270,Ein Schmuck für Momente - Helmut Käutner und das Hörspiel,1986,DRA,Wolfram Wessels,This record is a radio portrait of Wolfram Wessels.,Ordinary / private person,Ordinary / private person,portrait,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1372504,Die Straße nach Lushoto. Tanzania - Notizen aus meinem Tagebuch,1976,DRA,Gisela Albrecht,"This record is based on letters, diaries, writings, or other self-records connected to Gisela Albrecht.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1372907,Lady sings the Blues. Billie Holiday erinnert sich,1991,DRA,Billie Holiday,Adaptation of Billie Holiday's autobiography Lady Sings the Blues.,Musician / composer,manual override,biography; autobiography; memory/testimony,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1372532,Anonyme Briefe,1950,DRA,Annemarie Artinger,"This record is based on letters, diaries, writings, or other self-records connected to Annemarie Artinger. The metadata identifies the subject as a artist.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,original radio play,Originalhörspiel
https://hoerspiele.dra.de/detailansicht/1373260,Briefe an Olga,1991,DRA,Václav Havel,"This record is based on letters, diaries, writings, or other self-records connected to Václav Havel.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,sound art,"Hörspielbearbeitung, Ars acustica"
https://hoerspiele.dra.de/detailansicht/1374699,Familienpackung,1989,DRA,Gudrun Mebs,This record adapts autobiographical material by or about Gudrun Mebs. The metadata identifies the subject as a actor or performer.,Family / intimate life,Family / intimate life,biography; autobiography,other,"Kurzhörspiel, Kinderhörspiel"
https://hoerspiele.dra.de/detailansicht/1374444,Aus dem Tagebuch der Anne Frank,1989,DRA,Anne Frank,Adaptation from Anne Frank's diary.,Women's life; Author / literary figure; Witness / victim / displaced life; Family / intimate life,Women's life; Author / literary figure; Witness / victim / displaced life; Family / intimate life,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel, Kinderhörspiel"
https://hoerspiele.dra.de/detailansicht/1374721,Der Autor Hartmut Geerken,1990,DRA,Hartmut Geerken,A radio portrait of Hartmut Geerken as an author and radio artist.,Author / literary figure,manual override,portrait,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1374736,Jean Anouilh zum 80. Geburtstag: Majestät des Boulevard - Porträt,1990,DRA,Majestät des Boulevard,This record is a radio portrait of Majestät des Boulevard.,Ordinary / private person,Ordinary / private person,portrait,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1374916,Briefe an Franz Pawell,1990,DRA,Franz Pawell,"This record is based on letters, diaries, writings, or other self-records connected to Adolf Schröder.",Witness / victim / displaced life,Witness / victim / displaced life,diary/letters,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1375730,"Pioniere der Radiokunst (9. Folge: ... ""Quer zum Betrieb der Kulturindustrie"")",1986,DRA,August Soppe,This record is a radio portrait of August Soppe.,Ordinary / private person,Ordinary / private person,portrait,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1375816,Bodo Katzenbergers Tagebuch,1986,DRA,Marion Mosell,"This record is based on letters, diaries, writings, or other self-records connected to Marion Mosell.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1375822,Porträt,1986,DRA,Porträt,This record is a radio portrait of Porträt.,Ordinary / private person,Ordinary / private person,portrait,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1375861,Vier Briefe aus Amerika,1986,DRA,Josef Kraus,"This record is based on letters, diaries, writings, or other self-records connected to Konrad Wühr.",Witness / victim / displaced life; Ordinary / working life,Witness / victim / displaced life; Ordinary / working life,diary/letters,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1375962,Per Einschreiben,1987,DRA,Elli and Karli,"This record is based on letters, diaries, writings, or other self-records connected to Eva Maria Mudrich.",Ordinary / working life,Ordinary / working life,diary/letters,original radio play,"Originalhörspiel, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1376346,Das Tagebuch der Redegonda,1987,DRA,Arthur Schnitzler,"This record is based on letters, diaries, writings, or other self-records connected to Arthur Schnitzler.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1375917,Walter Ruttmann - der Visionär bewegter Rhythmen,1987,DRA,Jeanpaul Goergen,This record is a radio portrait of Jeanpaul Goergen.,Ordinary / private person,Ordinary / private person,portrait,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1376147,Das akustische Tagebuch,1987,DRA,Ronald Steckel,"This record is based on letters, diaries, writings, or other self-records connected to Ronald Steckel.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1375863,C'era una volta il west oder Alte Briefe aus Amerika,1986,DRA,Karl,"This record is based on letters, diaries, writings, or other self-records connected to Reinhard Döhl.",Witness / victim / displaced life; Ordinary / working life,Witness / victim / displaced life; Ordinary / working life,diary/letters,other,Kurzhörspiel
https://hoerspiele.dra.de/detailansicht/1377165,Ein Cäsar wäre ich sehr gerne gewesen - Monolog eines Mörders,1996,DRA,Ernst Wagner,This record adapts autobiographical material by or about Ernst Wagner; Horst Brandstätter; Bernd Neuzner.,Witness / victim / displaced life; Scholar / expert,Witness / victim / displaced life; Scholar / expert,biography; autobiography,adaptation,"Hörspielbearbeitung, Monolog"
https://hoerspiele.dra.de/detailansicht/1377516,Anti. Ein Rainer-Werner-Fassbinder-Porträt,1992,DRA,Anti. Ein Rainer-Werner-Fassbinder-Porträt,This record is a radio portrait of Anti. Ein Rainer-Werner-Fassbinder-Porträt.,Ordinary / private person,Ordinary / private person,portrait,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1377586,Und der Haifisch... . Mackie Messer erzählt aus seinem Leben. Porträt Wolf Kaiser,1992,DRA,Michael Trabitzsch,This record is a radio portrait of Michael Trabitzsch. The metadata identifies the subject as a actor or performer.,Ordinary / private person,Ordinary / private person,portrait; life story,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1377511,"""Ich war irgendwie der erste Existentialist""",1992,DRA,Herbert Kapfer; Regina Moths,This record is a radio portrait of Herbert Kapfer; Regina Moths. The metadata identifies the subject as a writer.,Ordinary / private person,Ordinary / private person,portrait,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1377773,Tagebuch einer heimlichen Symmetrie,1992,DRA,"Sabina Spielrein, Carl Gustav Jung, and Sigmund Freud","This record is based on letters, diaries, writings, or other self-records connected to Sigmund Freud; Carl Gustav Jung; Sabina Spielrein.",Women's life; Scholar / expert,Women's life; Scholar / expert,diary/letters,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1377781,Zazie und der lange Kerl im Autobus S,1992,DRA,Anette Kührmeyer,This record is a radio portrait of Anette Kührmeyer. The metadata identifies the subject as a writer.,Ordinary / private person,Ordinary / private person,portrait,feature / documentary,Feature
https://hoerspiele.dra.de/detailansicht/1378082,"Das wilde Geheul unserer täglichen Arbeit oder Komm heraus, du Schönheit von Mülheim (3. Teil: Briefe an Irina - Eine Erinnerung)",1992,DRA,Stephan Bock,"This record is based on letters, diaries, writings, or other self-records connected to Stephan Bock.",Ordinary / private person,Ordinary / private person,diary/letters; memory/testimony,original radio play,Originalhörspiel
https://hoerspiele.dra.de/detailansicht/1378087,Der verliebte Antierotiker - Ein unbekanntes Kapitel aus dem Leben des Dichters Paul Scheerbart (1. Teil),1993,DRA,Paul Scheerbart,"This record is based on letters, diaries, writings, or other self-records connected to Paul Scheerbart. The metadata identifies the subject as a writer.",Author / literary figure,Author / literary figure,diary/letters,adaptation,"Hörspielbearbeitung, Monolog"
https://hoerspiele.dra.de/detailansicht/1377966,Die lange Weile der Briefe danach,1992,DRA,Winfried Pielow,"This record is based on letters, diaries, writings, or other self-records connected to Winfried Pielow.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,other,Hörspiel
https://hoerspiele.dra.de/detailansicht/1378286,Andy Warhol: Das Tagebuch (1976),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378202,Autobiographie einer Leiche,1993,DRA,Gabriele Jelle Behnert,This record adapts autobiographical material by or about Gabriele Jelle Behnert.,Ordinary / private person,Ordinary / private person,biography; autobiography,original radio play,Originalhörspiel
https://hoerspiele.dra.de/detailansicht/1378287,Andy Warhol: Das Tagebuch (1977),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378288,Andy Warhol: Das Tagebuch (1978),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378289,Andy Warhol: Das Tagebuch (1979),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378290,Andy Warhol: Das Tagebuch (1980),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378292,Andy Warhol: Das Tagebuch (1982),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378293,Andy Warhol: Das Tagebuch (1983),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378296,Andy Warhol: Das Tagebuch (1986),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378291,Andy Warhol: Das Tagebuch (1981),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378295,Andy Warhol: Das Tagebuch (1985),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378294,Andy Warhol: Das Tagebuch (1984),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378297,Andy Warhol: Das Tagebuch (1987),1993,DRA,Andy Warhol,"This record is based on letters, diaries, writings, or other self-records connected to Andy Warhol.",Artist / visual artist,Artist / visual artist,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel"
https://hoerspiele.dra.de/detailansicht/1378354,Meine Seele war schwarz von Fliegen (1. Teil),1993,DRA,Vasilij Baranov,"This record is based on letters, diaries, writings, or other self-records connected to Vasilij Baranov.",Witness / victim / displaced life; Ordinary / working life,Witness / victim / displaced life; Ordinary / working life,diary/letters,adaptation,"Hörspielbearbeitung, Kurzhörspiel, Monolog"
https://hoerspiele.dra.de/detailansicht/1378358,Tagebuch eines Autobiographen,1993,DRA,Luc Ferrari,"This record is based on letters, diaries, writings, or other self-records connected to Luc Ferrari; Brunhild Meyer. The metadata identifies the subject as a composer and radio-play maker.",Musician / composer,Musician / composer,portrait; biography; autobiography; diary/letters,original radio play,Originalhörspiel
https://hoerspiele.dra.de/detailansicht/1381519,Der Wind geht gen Mittag und kommt herum zur Mitternacht,1993,DRA,"Maruša Krese, Biljana Jovanovic, Rada Ivekovic, Radmila Lazic, and Duska Perisic-Ost","This record is based on letters, diaries, writings, or other self-records connected to Maruša Krese; Biljana Jovanovic; Rada Ivekovic; Radmila Lazic.",Women's life; Author / literary figure; Witness / victim / displaced life; Collective / community,Women's life; Author / literary figure; Witness / victim / displaced life; Collective / community,diary/letters,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1381497,Bruchstücke aus dem Tagebuch eines Dorfküsters,1993,DRA,Steen Steensen Blicher,"This record is based on letters, diaries, writings, or other self-records connected to Steen Steensen Blicher.",Collective / community; Documentary / self-record subject,Collective / community | Documentary / self-record subject,diary/letters,adaptation,"Monolog, Hörspielbearbeitung"
https://hoerspiele.dra.de/detailansicht/1381401,Reise in den Klang der Worte. Porträt des Hörspiel-Regisseurs Jörg Jannings,1993,DRA,Mechthild Zschau,This record is a radio portrait of Mechthild Zschau.,Actor / performer,Actor / performer,portrait,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1381516,Sehr selten habe ich geweint,1993,DRA,World War II diarists and letter writers,"This record is based on letters, diaries, writings, or other self-records connected to Ingrid Hammer.",Witness / victim / displaced life; Collective / community,Witness / victim / displaced life; Collective / community,diary/letters,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1381590,Briefe an die Königin der Nacht,1993,DRA,Inger Edelfeldt,"This record is based on letters, diaries, writings, or other self-records connected to Inger Edelfeldt.",Family / intimate life; Documentary / self-record subject,Family / intimate life | Documentary / self-record subject,diary/letters,adaptation,"Hörspielbearbeitung, Kinderhörspiel"
https://hoerspiele.dra.de/detailansicht/1381670,Der Hang zur Einsilbigkeit,1993,DRA,Kordes,"This record is based on letters, diaries, writings, or other self-records connected to Wolfgang Hegewald.",Witness / victim / displaced life; Fictional / symbolic / place subject,Witness / victim / displaced life; Fictional / symbolic / place subject,diary/letters,original radio play,Originalhörspiel
https://hoerspiele.dra.de/detailansicht/1381923,"Ich tippe nur, was ich im Kopf habe",1995,DRA,Heidrun Nass,This record is a radio portrait of Heidrun Nass.,Ordinary / private person,Ordinary / private person,portrait,portrait,Porträt
https://hoerspiele.dra.de/detailansicht/1381820,Futschlinien (1. Teil: Der Reiseschriftsteller Richard Huelsenbeck),1995,DRA,Herbert Kapfer; Lisbeth Exner,"This record is based on letters, diaries, writings, or other self-records connected to Herbert Kapfer; Lisbeth Exner. The metadata identifies the subject as a writer.",Ordinary / private person,Ordinary / private person,biography; diary/letters,original radio play,Originalhörspiel
https://hoerspiele.dra.de/detailansicht/1381821,Futschlinien (2. Teil: Der Emigrant Richard Huelsenbeck),1995,DRA,Herbert Kapfer; Lisbeth Exner,"This record is based on letters, diaries, writings, or other self-records connected to Herbert Kapfer; Lisbeth Exner.",Ordinary / private person,Ordinary / private person,biography; diary/letters,original radio play,Originalhörspiel
https://hoerspiele.dra.de/detailansicht/1384864,Das schlechteste Hörspiel der Welt oder Eine Biographie über Niemand,1995,DRA,John von Düffel,This record presents biographical material about John von Düffel. The metadata identifies the subject as a writer.,Documentary / self-record subject,Documentary / self-record subject,biography,original radio play,"Originalhörspiel, Monolog"
https://hoerspiele.dra.de/detailansicht/1385344,Die innere Biografie des Robert Lax (3. Teil: Journals),1995,DRA,Sigrid Hauff,This record presents biographical material about Sigrid Hauff.,Documentary / self-record subject,Documentary / self-record subject,biography,essay,Essay
https://hoerspiele.dra.de/detailansicht/1385008,Im Ohrensaal,1995,DRA,Unica Zürn; Ursula Krechel,This record adapts autobiographical material by or about Unica Zürn; Ursula Krechel.,Ordinary / private person,Ordinary / private person,biography; autobiography,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1389829,Berlin - Ein akustisches Tagebuch,1996,DRA,Berlin,"This record is based on letters, diaries, writings, or other self-records connected to Ursula Weck. The metadata identifies the subject as a writer.",Fictional / symbolic / place subject,Fictional / symbolic / place subject,diary/letters,feature / documentary,"Feature, Originaltonhörspiel"
https://hoerspiele.dra.de/detailansicht/1386162,Berlinisches Tagebuch,1996,DRA,Mayako Kubo,"This record is based on letters, diaries, writings, or other self-records connected to Mayako Kubo.",Documentary / self-record subject,Documentary / self-record subject,diary/letters,sound art,Ars acustica
https://hoerspiele.dra.de/detailansicht/1385931,Erinnerungen an das Jahr Achtunddreißig,1996,DRA,Subject not identified,The source metadata is too sparse to identify the subject reliably; this record needs manual review.,Ordinary / private person,Ordinary / private person,memory/testimony,adaptation,Hörspielbearbeitung
https://hoerspiele.dra.de/detailansicht/1390079,Briefe an den Kaiser,1997,DRA,Johann Dietrich Weiland,"This record is based on letters, diaries, writings, or other self-records connected to Achim Tischer.",Witness / victim / displaced life,Witness / victim / displaced life,diary/letters,original radio play,"Originalhörspiel, Monolog"
https://hoerspiele.dra.de/detailansicht/1392442,Das Leben des Karl Valentin (3. Teil),1995,DRA,Michael Schulte,This record presents biographical material about Michael Schulte.,Documentary / self-record subject,Documentary / self-record subject,biography,feature / documentary,Feature
https://hoerspiele.dra.de/detailansicht/1392441,Das Leben des Karl Valentin (2. Teil),1995,DRA,Michael Schulte,This record presents biographical material about Michael Schulte.,Documentary / self-record subject,Documentary / self-record subject,biography,feature / documentary,Feature
https://hoerspiele.dra.de/detailansicht/1392444,Das Leben des Karl Valentin (5. Teil),1995,DRA,Michael Schulte,This record presents biographical material about Michael Schulte. The metadata identifies the subject as a writer.,Documentary / self-record subject,Documentary / self-record subject,biography,feature / documentary,Feature
https://hoerspiele.dra.de/detailansicht/1392429,Das Leben des Karl Valentin (1. Teil),1995,DRA,Michael Schulte,This record presents biographical material about Michael Schulte.,Documentary / self-record subject,Documentary / self-record subject,biography,feature / documentary,Feature
https://hoerspiele.dra.de/detailansicht/1392443,Das Leben des Karl Valentin (4. Teil),1995,DRA,Michael Schulte,This record presents biographical material about Michael Schulte.,Documentary / self-record subject,Documentary / self-record subject,biography,feature / documentary,Feature
https://hoerspiele.dra.de/detailansicht/1392445,Das Leben des Karl Valentin (6. Teil),1995,DRA,Michael Schulte,This record presents biographical material about Michael Schulte.,Documentary / self-record subject,Documentary / self-record subject,biography,feature / documentary,Feature
https://hoerspiele.dra.de/detailansicht/1392446,Das Leben des Karl Valentin (7. Teil),1995,DRA,Michael Schulte,This record presents biographical material about Michael Schulte. The metadata identifies the subject as a writer.,Documentary / self-record subject,Documentary / self-record subject,biography,feature / documentary,Feature
https://hoerspiele.dra.de/detailansicht/1392447,Das Leben des Karl Valentin (8. Teil),1995,DRA,Michael Schulte,This record presents biographical material about Michael Schulte.,Documentary / self-record subject,Documentary / self-record subject,biography,feature / documentary,Feature
