source_url,title,source,short_description,extraction_method,english_description
https://hoerspiele.dra.de/detailansicht/1369519,Ein Leben auf der Flucht vor der Koralle,DRA,"Ruth Frau, einst gefeierter Filmstar, später auf die schiefe Bahn geraten, ist ein Comeback gelungen. Sie ist wieder ""voll da"": Junge Regisseure arbeiten mit ihr, und die Jugend verehrt sie als ""irgendwie schrillen"" Kultstar.",html:dra,"Ruth Frau, once a celebrated film star who later got on the wrong path, has made a comeback. She's ""fully back"": young directors are working with her, and young people adore her as a ""somehow flashy"" cult star."
https://hoerspiele.dra.de/detailansicht/1369551,Mein Leben,DRA,"Johann Gottfried Seume, 1763 in einem Dorf in Sachsen geboren - Bauernsohn, hochbegabt, vom Pfarrer entdeckt, von einem Adligen gefördert, zur Schule und zur Universität geschickt, damit er Theologie studiere und Pfarrer werde: Der Universität entlaufen, der Heimat entlaufen, von den Hessen zwangsrekrutiert und als Soldat nach Amerika verkauft; heimkehrend…",html:dra,"Johann Gottfried Seume, born in 1763 in a village in Saxony - farmer's son, highly talented, discovered by the priest, sponsored by a nobleman, sent to school and university so that he could study theology and become a pastor: escaped from the university, escaped from his homeland, was forcibly recruited by the Hessians and sold to America as a soldier; returning home..."
https://hoerspiele.dra.de/detailansicht/1369714,... is a dangerous number,DRA,"'Is a dangerous number' ist ein Porträt des Dramatikers, Kritikers und Dichters Amiri Baraka (LeRoi Jones). In Auszügen aus einem mehrstündigen Interview gibt Baraka Auskunft über sein wechselvolles Leben.",html:dra,"'Is a dangerous number' is a portrait of the playwright, critic and poet Amiri Baraka (LeRoi Jones). In excerpts from an interview lasting several hours, Baraka provides information about his eventful life."
https://hoerspiele.dra.de/detailansicht/1370391,"Vom Enden einer Liebe, einer Frau",DRA,"""Das Hörspiel basiert auf Texten, die den 17 Briefen entnommen sind, welche Susette Gontard zwischen 1798 und 1800 an Friedrich Hölderlin geschrieben hat, nachdem dieser wegen seiner Beziehung zu Susette von Jakob Gontard aus seiner Hofmeister-Stelle entfernt und des Hauses verwiesen worden war.",html:dra,"""The radio work is based on texts taken from the 17 letters that Susette Gontard wrote to Friedrich Hölderlin between 1798 and 1800 after he was removed from his position as court master by Jakob Gontard and expelled from the house because of his relationship with Susette."
https://hoerspiele.dra.de/detailansicht/1370564,"Hörspielwerkstatt - ""Wichtig ist auch die durchkomponierte Pause...""",DRA,"blendet man aus, blendet man die nächste Szene ein, schaffen wir Übergänge oder lassen wir's einfach hart aufhören? An sich war man damals doch auf die elegantere Form des Übergehens, des Fließens eingestellt und hat dadurch plötzlich dem Komponisten gesagt, 'da muß dir doch was einfallen!' und wenn's nur 'n Akzent wäre.",html:dra,"Do we fade out, fade in the next scene, do we create transitions or do we just let it stop hard? At that time, people were actually attuned to the more elegant form of transition and flow and suddenly said to the composer, 'You must think of something!' and if only it were an accent."
https://hoerspiele.dra.de/detailansicht/1370331,Das Porträt,DRA,"Irgendwann Mitte der Fünfziger Jahre betritt ein Mann das Pariser Atelier des Bildhauers Alberto Giacometti. Er ist eben aus New York herübergekommen, um ein Porträt für die ""Art Review"" zu schreiben.",html:dra,"Sometime in the mid-1950s, a man enters the Paris studio of the sculptor Alberto Giacometti. He has just come over from New York to write a portrait for the ""Art Review""."
https://hoerspiele.dra.de/detailansicht/1370867,John Cage,DRA,"Unter den zeitgenössischen Komponisten, die die Entwicklung des Hörspiels als autonome akustische Kunstform geprägt haben, ist John Gage der große Veteran. Ein Veteran, der seine Fähigkeit zur Erneuerung der akustischen Spielformen des Radios bis in jüngste Arbeiten erweist.",html:dra,"Among the contemporary composers who have shaped the development of radio work as an autonomous acoustic art form, John Gage is the great veteran. A veteran who demonstrates his ability to renew the acoustic forms of radio in his most recent works."
https://hoerspiele.dra.de/detailansicht/1370870,Der Ohrenblick,DRA,"In der Dokumentation ""Der Ohrenblick"" erinnert sich Luc Ferrari gemeinsam mit seiner langjährigen Gefährtin und Mitarbeiterin Brunhild Meyer an die wichtigsten Stationen seiner Arbeit als Komponist und Hörspielmacher von der musique concrète zur anekdotischen Musik, wie Luc Ferrai die Methode seiner Tonbandkompositionen nennt, in denen die Realität den Ton…",html:dra,"In the documentary ""The Ear View"", Luc Ferrari, together with his long-time companion and collaborator Brunhild Meyer, remembers the most important stages of his work as a composer and radio-work maker from musique concrète to anecdotal music, as Luc Ferrai calls the method of his tape compositions in which reality..."
https://hoerspiele.dra.de/detailansicht/1370868,Mauricio Kagel,DRA,"Mauricio Kagel, 1931 in Buenos Aires geboren und seit den fünfziger Jahren in Köln lebend- arbeitete als Komponist und Regisseur schon früh im Grenzbereich von Musik, Sprache, Szene und Film und nutzte seit den sechziger Jahren die kreativen Möglichkeiten der Studio-Elektronik.",html:dra,"Mauricio Kagel, born in Buenos Aires in 1931 and living in Cologne since the 1950s, worked as a composer and director early on in the border areas of music, language, scene and film and has been using the creative possibilities of studio electronics since the 1960s."
https://hoerspiele.dra.de/detailansicht/1371042,Oktober-Nächte/Les nuits d'octobre,DRA,"In zehn Variationen wird das Leben Gérard de Nervals bis zu seinem Selbstmord umrissen; der zunehmende Wahn des Dichters, exemplifiziert an seiner Sprache, steht im Mittelpunkt des Hörspiels.",html:dra,"The life of Gérard de Nerval up to his suicide is outlined in ten variations; The poet's increasing madness, exemplified by his language, is the focus of the radio work."
https://hoerspiele.dra.de/detailansicht/1371169,"Lieber Piet, liebe Sandra",DRA,"Kurz vor dem Abitur ir dem Abitur ist ihr nichts Besseres eingefallen, als sich in Piet zu verlieben. Aber was tun, damit Piet es auch erfährt? Truck, der Sandra seit Jahren anhimmelt, Truck, das Ass in Deutsch...",html:dra,"Shortly before graduating from high school, she couldn't think of anything better than falling in love with Piet. But what can we do to ensure that Piet finds out too? Truck, who has adored Sandra for years, Truck, the ace in German..."
https://hoerspiele.dra.de/detailansicht/1371171,Von Herren und Knechten,DRA,"Lieber Herr Fecht (Komma, Absatz) ich hoffe (Komma) Sie haben sich in Ihrem neuen Heim gut eingelebt (Punkt) Nach Ihrem Auszug aus der Erdgeschoßwohnung in meinem Haus Erlenweg 19 gab es noch ein kleines Problem (Doppelpunkt) Sie haben nach erfolgter Renovierung der Wohnung die Gardinenschiene am Wohnzimmerfenster nicht wieder ordnungsgemäß befestigt…",html:dra,"Dear Mr. Fecht (comma, paragraph) I hope (comma) you have settled in well in your new home (period) After you moved out of the ground floor apartment in my house at Erlenweg 19, there was still a small problem (colon) You did not properly reattach the curtain rail on the living room window after the apartment was renovated..."
https://hoerspiele.dra.de/detailansicht/1371100,And what about me? Ein Porträt des Autors Raymond Federman,DRA,"Ein Porträt des Autors Raymond Federman als Version Nummer X der ebenso trivialen wie phantastischen Geschichte seines Lebens nach Selbstzeugnissen, Werkzitaten und Gesprächen erstellt von Herbert Kapfer",html:dra,A portrait of the author Raymond Federman as version number.
https://hoerspiele.dra.de/detailansicht/1371173,"Amore, Amore",DRA,"Elsa, diplomierte Soziologin, arbeitet als ABrbeitet als ABM-Kraft in einer Versicherungsagentur. Neuerdings findet sie, von der Arbeit nachhause kommend, immer wieder dicke Briefe in ihrem Kasten, Briefe aus Catania in Sizilien.",html:dra,"Elsa, a qualified sociologist, works as an ABM worker in an insurance agency. Recently, when she comes home from work, she keeps finding thick letters in her box, letters from Catania in Sicily."
https://hoerspiele.dra.de/detailansicht/1371074,Die Courage des George Tabori,DRA,"Wenn George Tabori ein Stück schreibt oder inszeniert, sind die Bedenkenträger und Übelnehmer nicht weit. Das war so bei ""Kannibalen"", 1969 in Berlin, und 18 Jahre später war es noch immer so.",html:dra,"When George Tabori writes or directs a play, the doubters and evil-doers are not far away. That was the case with ""Cannibals"" in Berlin in 1969, and 18 years later it was still the same."
https://hoerspiele.dra.de/detailansicht/1371238,Baal Babylon,DRA,"Der spanische Dichter Fernando Arrabal, geboren 1932 in Melilla in Spanisch-Marokko, hat mit ""Baal Babylon"" eine kunstvolle Autobiographie geschrieben. Sein Vater, ein Maler, wurde am Vorabend des spanischen Bürgerkriegs vom Militär verhaftet, möglicherweise von seiner Frau als 'Roter' denunziert.",html:dra,"The Spanish poet Fernando Arrabal, born in Melilla in Spanish Morocco in 1932, wrote an artistic autobiography with ""Baal Babylon"". His father, a painter, was arrested by the military on the eve of the Spanish Civil War, possibly denounced as a 'Red' by his wife."
https://hoerspiele.dra.de/detailansicht/1371889,Mein Spaziergang nach Syrakus - Briefe an einen Freund (2. Teil: Annäherungen),DRA,"Über 180 Jahre, nachdem der Dichter Johann Gottfried Seume auf Schusters Rappen seinen berühmten ""Spaziergang nach Syrakus"" machte, brach der Berliner Autor Jürgen Liebing auf, mehrere Tausend Kilometer zu Fuß auf Seumes Spuren zurückzulegen, zu einem heutigen ""Spaziergang"" nach Syrakus in Sizilien.",html:dra,"Over 180 years after the poet Johann Gottfried Seume made his famous ""walk to Syracuse"" on Schuster's horse, the Berlin author Jürgen Liebing set out to cover several thousand kilometers on foot in Seume's footsteps, on what is now a ""walk"" to Syracuse in Sicily."
https://hoerspiele.dra.de/detailansicht/1371603,New York City,DRA,"""Ursprünglich wollte ich eine 'Audio-Kammersinfonie' schreiben, vergleichbar zu Dylan Thomas' 'Under Milk Wood' (1953) - ein liebevolles Portrait der Stadt, in der ich geboren wurde, aufwuchs und in der ich mein ganzes Leben gewohnt habe.",html:dra,"""Originally I wanted to write an 'audio chamber symphony' comparable to Dylan Thomas' 'Under Milk Wood' (1953) - a loving portrait of the city where I was born, grew up and lived in my entire life."
https://hoerspiele.dra.de/detailansicht/1371888,Mein Spaziergang nach Syrakus - Briefe an einen Freund (1. Teil: Entfernungen),DRA,"Über 180 Jahre, nachdem der Dichter Johann Gottfried Seume auf Schusters Rappen seinen berühmten ""Spaziergang nach Syrakus"" machte, brach der Berliner Autor Jürgen Liebing auf, mehrere Tausend Kilometer zu Fuß auf Seumes Spuren zurückzulegen, zu einem heutigen ""Spaziergang"" nach Syrakus in Sizilien.",html:dra,"Over 180 years after the poet Johann Gottfried Seume made his famous ""walk to Syracuse"" on Schuster's horse, the Berlin author Jürgen Liebing set out to cover several thousand kilometers on foot in Seume's footsteps, on what is now a ""walk"" to Syracuse in Sicily."
https://hoerspiele.dra.de/detailansicht/1372064,Franz Kafka hört noch immer Radio und telefoniert mit schönen Frauen. Porträt eines Mannes vor dem Sterben,DRA,"""Wer hätte das gedacht, ein Jahrhundertereignis in unserer Familie"", läßt sich der Sohn eines Hundertjährigen vernehmen, für den sich die Medien interessieren.",html:dra,"""Who would have thought it would be an event of the century in our family,"" says the son of a centenarian in whom the media is interested."
https://hoerspiele.dra.de/detailansicht/1372247,Fred von Hoerschelmann - Zum 10. Todestag des Hörspielautors,DRA,"Ein Essay anläßlich des 10. Todetages von Fred von Hoerschelmann, mit Ausschnitten aus vier seiner Hörspiele und zwei Interviews.",html:dra,"An essay on the 10th anniversary of Fred von Hoerschelmann's death, with excerpts from four of his radio works and two interviews."
https://hoerspiele.dra.de/detailansicht/1372252,Der Rundfunkmann Ernst Schnabel,DRA,"Ernst Schnabel, der Schriftsteller und Rundfunkautor, der literarische Förderer und Intendant des frühen Hamburger Rundfunks, starb im Januar diesen Jahres 72jährig in Berlin.",html:dra,"Ernst Schnabel, the writer and radio author, the literary supporter and director of the early Hamburg radio, died in Berlin in January of this year at the age of 72."
https://hoerspiele.dra.de/detailansicht/1372270,Ein Schmuck für Momente - Helmut Käutner und das Hörspiel,DRA,"Daß Helmut Käutner zu den berühmtesten Regisseuren des deutschen Films gehört, ist allgemein bekannt. Daß er auch am Theater erfolgreich war, wissen nur einige. Daß er aber auch dem Nachkriegshörspiel wichtige Impulse gab, weiß kaum einer.",html:dra,It is well known that Helmut Käutner is one of the most famous directors of German film. Only a few people know that he was also successful in the theater. But hardly anyone knows that he also gave important impulses to post-war radio works.
https://hoerspiele.dra.de/detailansicht/1372504,Die Straße nach Lushoto. Tanzania - Notizen aus meinem Tagebuch,DRA,"""Die Straße nach Lushoto"" ist der eingestanden subjektive Versuch, das Problem der Zusammenarbeit Europäer - Afrikaner anhand des Entwicklungsprojektes LIDEP (Lushoto - Integrated Development Project) mit Gesprächen und Beobachtungen darzustellen.",html:dra,"""The Road to Lushoto"" is an admittedly subjective attempt to present the problem of cooperation between Europeans and Africans using the development project LIDEP (Lushoto - Integrated Development Project) with conversations and observations."
https://hoerspiele.dra.de/detailansicht/1372907,Lady sings the Blues. Billie Holiday erinnert sich,DRA,"Für viele ist Billie Holiday die Sängerin des Jazz überhaupt. Ein Name, der synonym ist mit allem, was der Jazz ausdrückt: Stolz, Leid, Zorn, Eleganz, Rassismus und Exzessivität.",html:dra,"For many, Billie Holiday is the jazz singer of all time. A name that is synonymous with everything that jazz expresses: pride, suffering, anger, elegance, racism and excess."
https://hoerspiele.dra.de/detailansicht/1372532,Anonyme Briefe,DRA,"Ein Hörspiel, das dem künstlerischen Nachwuchs gewidmet ist. Es führt in das Milieu einer Schauspielschule, und die Sorge der Eleven ist zugleich die Sorge der Jugend in unserer Zeit: den rechten Start in den gewählten Beruf zu finden.",html:dra,"A radio work dedicated to young artists. It takes us into the milieu of a drama school, and the concern of the eleven is at the same time the concern of young people in our time: finding the right start in their chosen profession."
https://hoerspiele.dra.de/detailansicht/1373260,Briefe an Olga,DRA,"Seine ""Briefe an Olga"" hat der tschechische Dichter und Staatspräsident der CSFR, während seiner Gefängniszeit als Bürgerrechtler Ende der 70er und Anfang der 80er Jahre an seine Frau geschrieben.",html:dra,"The Czech poet and President of the CSFR wrote his ""Letters to Olga"" to his wife during his prison time as a civil rights activist in the late 1970s and early 1980s."
https://hoerspiele.dra.de/detailansicht/1374699,Familienpackung,DRA,"""Der Familienausflug oder Johann Christophs Leiden"", so würde der Hauptdarsteller wahrscheinlich seine Autobiographie betiteln. Seine Eltern haben ihn Johann Christoph genannt, und seine Schwester heißt Purzel, meistens sogar Purzelchen.",html:dra,"""The Family Trip or Johann Christoph's Suffering"" is how the main character would probably title his autobiography. His parents called him Johann Christoph, and his sister is called Purzel, usually Purzelchen."
https://hoerspiele.dra.de/detailansicht/1374444,Aus dem Tagebuch der Anne Frank,DRA,"Vorlage: Das Tagebuch der Anne Frank (Prosa) Bearbeitung (Wort): Gabriele Finger-Hoffmann, Bettina Wenke",html:dra,"A radio work based on The Diary of Anne Frank (prose) text adaptation: Gabriele Finger-Hoffmann, Bettina Wenke."
https://hoerspiele.dra.de/detailansicht/1374721,Der Autor Hartmut Geerken,DRA,"Porträt des Autors Hartmut Geerken im Anschluß an das Hörspiel ""kein roter faa, denn die Worte sind niemals gefallen"".",html:dra,"Portrait of the author Hartmut Geerken following the radio work ""no red faa, because the words were never spoken""."
https://hoerspiele.dra.de/detailansicht/1374736,Jean Anouilh zum 80. Geburtstag: Majestät des Boulevard - Porträt,DRA,"Mit einer Sondersendung würdigte die Hörspielabteilung des Bayerischen Rundfunks den französischen Dramatiker Jean Anouilh an seinem 80. Geburtstag. Zahlreiche seiner Dramen wurden auch für den Hörfunk bearbeitet, sie zählen wie ""Antigone"" inzwischen zu den Klassikern deutscher Hörspielgeschichte.",html:dra,"The Bavarian Radio radio work department paid tribute to the French playwright Jean Anouilh on his 80th birthday with a special broadcast. Many of his dramas have also been adapted for radio; like ""Antigone"", they are now among the classics of German radio work history."
https://hoerspiele.dra.de/detailansicht/1374916,Briefe an Franz Pawell,DRA,"Aus zwei Deutschlands ist wieder ein Deutschland geworden. In dieses neue Deutschland kommt Franz Pawell gefahren, einer, der unter dem alten Deutschland sehr gelitten hat.",html:dra,"Two Germanys have become one Germany again. Franz Pawell comes to this new Germany, someone who suffered greatly under the old Germany."
https://hoerspiele.dra.de/detailansicht/1375730,"Pioniere der Radiokunst (9. Folge:... ""Quer zum Betrieb der Kulturindustrie"")",DRA,"1931 schrieb eine Zeitschrift: ""In Frankfurt sitzen die Avantgardisten des Rundfunks... vieles von dem, was heute, man möchte sagen, genormter Bestandteil der deutschen Programme geworden ist, wurde hier entdeckt."" Künstlerischer Leiter des Südwestdeutschen Rundfunks in Frankfurt war zu jener Zeit Ernst Schoen.",html:dra,"In 1931 a magazine wrote: ""The avant-gardists of radio are based in Frankfurt... much of what, one might say, has become a standardized part of German programs today was discovered here."" At that time, the artistic director of the Südwestdeutscher Rundfunk in Frankfurt was Ernst Schoen."
https://hoerspiele.dra.de/detailansicht/1375816,Bodo Katzenbergers Tagebuch,DRA,"Der Schüler Bodo Katzenberger hängt ziemlich durch. Seitdem sein Vater zu einer Freundin gezogen ist, ist die Stimmung kaputt. Die Mutter verkraftet die Situation einfach nicht.",html:dra,"The student Bodo Katzenberger is quite slack. Since his father moved in with a girlfriend, the mood has been broken. The mother simply cannot cope with the situation."
https://hoerspiele.dra.de/detailansicht/1375822,Porträt,DRA,"""Porträt"" von Irene Oppenheim: Ein Mann stirbt. - für seine Frau - für seine Tochter - für seine Enkelin - jede ist Zeuge seines Todes. - seinen Körper - sein Rasiermesser - seine Kleider - sein Dasein - das muß beseitigt werden.",html:dra,"""Portrait"" by Irene Oppenheim: A man dies. - for his wife - for his daughter - for his granddaughter - everyone witnesses his death. - his body - his razor - his clothes - his existence - that must be eliminated."
https://hoerspiele.dra.de/detailansicht/1375861,Vier Briefe aus Amerika,DRA,"Colorado/USA, Ende des letzten Jahrhunderts. Josef Kraus, der nach einem Zerwürfnis mit seinen Eltern, die gegen seine Heirat mit dem Dienstmädchen Katharina waren, von Bayern in die Staaten auswanderte, ist in der Fremde kein Glück beschieden.",html:dra,"Colorado/USA, end of last century. Josef Kraus, who emigrated from Bavaria to the States after a falling out with his parents, who were against his marriage to the maid Katharina, was not lucky abroad."
https://hoerspiele.dra.de/detailansicht/1375962,Per Einschreiben,DRA,"Das Hörspiel handelt von zwei Menschen, Elli und Karli, die sich lange Zeit, ohne persönliche Begegnung, nur Briefe schreiben, in ihrem Briefwechsel Heiratsabsichten äußern, zum Schluß aber Elli mit dem Briefträger befreundet ist.",html:dra,"The radio work is about two people, Elli and Karli, who for a long time, without meeting each other in person, only write letters, express their intentions to get married in their correspondence, but in the end Elli becomes friends with the postman."
https://hoerspiele.dra.de/detailansicht/1376346,Das Tagebuch der Redegonda,DRA,"Der Konzeptspraktikant Dr. Gottfried Wehwald war ein junger Mann von guten Manieren, ja sogar einer gewissen Vornehmheit des Auftretens, die ihm selbst zumindest eine immerwährende stille Befriedigung zu gewähren schien.",html:dra,"The concept intern Dr. Gottfried Wehwald was a young man of good manners, even a certain nobility of demeanor, which seemed to at least give him a constant, quiet satisfaction."
https://hoerspiele.dra.de/detailansicht/1375917,Walter Ruttmann - der Visionär bewegter Rhythmen,DRA,"Walter Ruttmann (1887-1941) hat in mehrfacher Hinsicht Film- und Rundfunkgeschichte geschrieben. In den zwanziger Jahren begründete er mit ""Lichtspiel OPUS 1"" den abstrakten Film, stellte die ersten farbigen Werbefilme her und wirkte mit seinen Produktionen stilbildend auf dem Gebiet der Montage in Film und Hörspiel.",html:dra,"Walter Ruttmann (1887-1941) made film and radio history in many ways. In the 1920s he founded abstract film with ""Lichtspiel OPUS 1"", produced the first colored advertising films and, with his productions, influenced the style of montage in films and radio works."
https://hoerspiele.dra.de/detailansicht/1376147,Das akustische Tagebuch,DRA,"DAS AKUSTISCHE TAGEBUCH ist eine Anthologie einiger Geräusche, die innerhalb der letzten fünfzehn Jahre in meiner Arbeit mit Tonbändern entstanden sind. Ich habe sie zu akustischen Landschaften zusammengefügt, bevölkert von menschlichen und nichtmenschlichen, natürlichen und imaginären Stimmen.",html:dra,"THE ACOUSTIC DIARY is an anthology of some of the sounds that have been created in my work with tapes over the last fifteen years. I assembled them into acoustic landscapes populated by human and non-human, natural and imaginary voices."
https://hoerspiele.dra.de/detailansicht/1375863,C'era una volta il west oder Alte Briefe aus Amerika,DRA,"Weil ein Dienstmädchen ein Kind von ihm bekam, ist der junge Karl nach Amerika geschickt worden. Von dort schreibt er ungelenke Briefe an seine Eltern in Bayern, deren Inhalt gar nicht so recht passen will zum Wildwestpathos und zur Wildtöterromantik der damaligen Zeit.",html:dra,"Because a maid had a child by him, young Karl was sent to America. From there he writes clumsy letters to his parents in Bavaria, the content of which doesn't really fit with the Wild West pathos and deer-killer romanticism of the time."
https://hoerspiele.dra.de/detailansicht/1377165,Ein Cäsar wäre ich sehr gerne gewesen - Monolog eines Mörders,DRA,"Als Lehrer lebte er mit seiner Familie u.a. in Radelstetten, einem Dorf am Rande des Schwäbischen Alb, danach als Hauptlehrer in Stuttgart-Degerloch.",html:dra,"As a teacher, he lived with his family in Radelstetten, a village on the edge of the Swabian Alb, and then as a main teacher in Stuttgart-Degerloch."
https://hoerspiele.dra.de/detailansicht/1377516,Anti. Ein Rainer-Werner-Fassbinder-Porträt,DRA,"Das Porträt eines experimentellen Filme-Machers mit den Mitteln des Hörspiels konnte nicht konventionell sein. Also wurde mit den neuesten verfügbaren Techniken (Sampling) ebenso gearbeitet wie mit den modernen Verfahren des harten Schnitts, der Collage und Montage.",html:dra,"The portrait of an experimental film-maker using the means of radio work could not be conventional. So we worked with the latest available techniques (sampling) as well as modern methods of hard editing, collage and montage."
https://hoerspiele.dra.de/detailansicht/1377586,Und der Haifisch.... Mackie Messer erzählt aus seinem Leben. Porträt Wolf Kaiser,DRA,"Weitere Informationen Wolf Kaiser, der am 26.10.1916 in Frankfurt am Main geboren wurde, wuchs in der Schweiz auf, studierte Chemie und Physiologie, arbeitete als Kellner und nahm von 1939 - 41 Schauspielunterricht bei Margarethe Wellhoener in Berlin.",html:dra,"Wolf Kaiser, who was born on October 26, 1916 in Frankfurt am Main, grew up in Switzerland, studied chemistry and physiology, worked as a waiter and took acting lessons from Margarethe Wellhoener in Berlin from 1939 - 41."
https://hoerspiele.dra.de/detailansicht/1377511,"""Ich war irgendwie der erste Existentialist""",DRA,"Mit aggressiven Auftritten - zunächst im Zürcher ""Cabaret Voltaire"" 1916, und nach Ende des Ersten Weltkriegs in Berlin - erregte der Schriftsteller Richard Huelsenbeck Aufsehen.",html:dra,"The writer Richard Huelsenbeck caused a stir with aggressive performances - first in Zurich's ""Cabaret Voltaire"" in 1916, and after the end of the First World War in Berlin."
https://hoerspiele.dra.de/detailansicht/1377773,Tagebuch einer heimlichen Symmetrie,DRA,"""Kleine Laboratoriumsexplosionen werden bei der Natur des Stoffes, mit dem wir arbeiten, nie zu vermeiden sein"". - Ein kleines Trostwort von Sigmund Freud an seinen Schüler und angehenden Kollegen Carl Gustav Jung.",html:dra,"""Small laboratory explosions can never be avoided given the nature of the material we work with."" - A little word of consolation from Sigmund Freud to his student and future colleague Carl Gustav Jung."
https://hoerspiele.dra.de/detailansicht/1377781,Zazie und der lange Kerl im Autobus S,DRA,"Raymond Queneau, dieser französische Allround-Schriftsteller, ist in Deutschland vor allem durch das Buch und den Film ""Zazie in der Métro"" bekannt. Auch die Stilübungen"" erfreuen sich großer Beliebtheit.",html:dra,"Raymond Queneau, this French all-round writer, is best known in Germany for the book and film ""Zazie in the Métro"". The style exercises are also very popular."
