map_order,title,year,first_broadcast_date,source,broadcasting_station,cluster,form,genre,protagonist_verified,protagonist_role,author,director,url,description
11,Mein Leben,1994,24.06.1994,DRA,Bayerischer Rundfunk,Autobiographical lives,adaptation,Hörspielbearbeitung,Johann Gottfried Seume,author,Johann Gottfried Seume,Christoph Lindenmeyer,https://hoerspiele.dra.de/detailansicht/1369551,"Johann Gottfried Seume, born in 1763 in a village in Saxony - farmer's son, highly talented, discovered by the priest, sponsored by a nobleman, sent to school and university so that he could study theology and become a pastor: escaped from the university, escaped from his homeland, was forcibly recruited by the Hessians and sold to America as a soldier; returning home..."
12,... is a dangerous number,1994,11.03.1994,DRA,Bayerischer Rundfunk,Biography,feature / documentary,Feature,Amiri Baraka / LeRoi Jones,author; activist,Karl Bruckmaier,,https://hoerspiele.dra.de/detailansicht/1369714,"'Is a dangerous number' is a portrait of the playwright, critic and poet Amiri Baraka (LeRoi Jones). In excerpts from an interview lasting several hours, Baraka provides information about his eventful life."
13,"Vom Enden einer Liebe, einer Frau",1987,10.11.1987,DRA,Westdeutscher Rundfunk,Based on letters,adaptation,Hörspielbearbeitung,Susette Gontard,woman,Susette Gontard; Friedrich Hölderlin,Hans Ulrich Humpert,https://hoerspiele.dra.de/detailansicht/1370391,"""The radio work is based on texts taken from the 17 letters that Susette Gontard wrote to Friedrich Hölderlin between 1798 and 1800 after he was removed from his position as court master by Jakob Gontard and expelled from the house because of his relationship with Susette."
14,"Hörspielwerkstatt - ""Wichtig ist auch die durchkomponierte Pause ...""",1988,17.08.1988,DRA,Norddeutscher Rundfunk,Biography,other,Hörspiel,Siegfried Franz,musician; composer,Henning Rademacher,Henning Rademacher,https://hoerspiele.dra.de/detailansicht/1370564,"Do we fade out, fade in the next scene, do we create transitions or do we just let it stop hard? At that time, people were actually attuned to the more elegant form of transition and flow and suddenly said to the composer, 'You must think of something!' and if only it were an accent."
15,Das Porträt,1994,26.12.1994,DRA,Mitteldeutscher Rundfunk / Norddeutscher Rundfunk,Biography,adaptation,Hörspielbearbeitung,James Lord and Alberto Giacometti,author; artist,Anders Nyman,Jörg Jannings,https://hoerspiele.dra.de/detailansicht/1370331,"Sometime in the mid-1950s, a man enters the Paris studio of the sculptor Alberto Giacometti. He has just come over from New York to write a portrait for the ""Art Review""."
16,John Cage,1988,18.08.1988,DRA,Südwestfunk,Sound art,portrait,Porträt,John Cage,musician; sound artist,Klaus Schöning,Klaus Schöning,https://hoerspiele.dra.de/detailansicht/1370867,"Among the contemporary composers who have shaped the development of radio work as an autonomous acoustic art form, John Gage is the great veteran. A veteran who demonstrates his ability to renew the acoustic forms of radio in his most recent works."
17,Der Ohrenblick,1988,25.08.1988,DRA,Südwestfunk / La Muse en Circuit,Sound art,portrait,Porträt,Luc Ferrari,musician; sound artist,Brunhild Meyer,Brunhild Meyer,https://hoerspiele.dra.de/detailansicht/1370870,"In the documentary ""The Ear View"", Luc Ferrari, together with his long-time companion and collaborator Brunhild Meyer, remembers the most important stages of his work as a composer and radio-work maker from musique concrète to anecdotal music, as Luc Ferrai calls the method of his tape compositions in which reality..."
18,Mauricio Kagel,1988,20.08.1988,DRA,Südwestfunk,Sound art,portrait,Porträt,Mauricio Kagel,musician; director; sound artist,Michael Schäfermeyer,Michael Schäfermeyer,https://hoerspiele.dra.de/detailansicht/1370868,"Mauricio Kagel, born in Buenos Aires in 1931 and living in Cologne since the 1950s, worked as a composer and director early on in the border areas of music, language, scene and film and has been using the creative possibilities of studio electronics since the 1960s."
19,Oktober-Nächte/Les nuits d'octobre,1988,27.12.1988,DRA,Westdeutscher Rundfunk,Autobiographical lives,adaptation,Hörspielbearbeitung,Gérard de Nerval,author,Gerard de Nerval,Heinz von Cramer,https://hoerspiele.dra.de/detailansicht/1371042,"The life of Gérard de Nerval up to his suicide is outlined in ten variations; The poet's increasing madness, exemplified by his language, is the focus of the radio work."
20,"Lieber Piet, liebe Sandra",1989,04.04.1989,DRA,Hessischer Rundfunk,Based on letters,other,Kurzhörspiel,"Sandra, Piet, and Truck",fictional character; ordinary person,Bernhard Pfletschinger,Ferdinand Ludwig,https://hoerspiele.dra.de/detailansicht/1371169,"Shortly before graduating from high school, she couldn't think of anything better than falling in love with Piet. But what can we do to ensure that Piet finds out too? Truck, who has adored Sandra for years, Truck, the ace in German..."
21,Von Herren und Knechten,1989,11.04.1989,DRA,Hessischer Rundfunk,Based on letters,other,Kurzhörspiel,Herr Fecht and his former landlord/neighbor,fictional character; ordinary person,Bernhard Pfletschinger,Ferdinand Ludwig,https://hoerspiele.dra.de/detailansicht/1371171,"Dear Mr. Fecht (comma, paragraph) I hope (comma) you have settled in well in your new home (period) After you moved out of the ground floor apartment in my house at Erlenweg 19, there was still a small problem (colon) You did not properly reattach the curtain rail on the living room window after the apartment was renovated..."
22,And what about me? Ein Porträt des Autors Raymond Federman,1989,13.10.1989,DRA,Bayerischer Rundfunk,Biography,portrait,Porträt,Raymond Federman,author,Herbert Kapfer,Herbert Kapfer,https://hoerspiele.dra.de/detailansicht/1371100,A portrait of the author Raymond Federman as version number.
23,"Amore, Amore",1989,18.04.1989,DRA,Hessischer Rundfunk,Based on letters,other,Kurzhörspiel,Elsa and Renzo,fictional character; ordinary person; woman,Bernhard Pfletschinger,Ferdinand Ludwig,https://hoerspiele.dra.de/detailansicht/1371173,"Elsa, a qualified sociologist, works as an ABM worker in an insurance agency. Recently, when she comes home from work, she keeps finding thick letters in her box, letters from Catania in Sicily."
24,Die Courage des George Tabori,1989,25.05.1989,DRA,Bayerischer Rundfunk,Biography,feature / documentary,Originaltonhörspiel,George Tabori,author; director,Dieter Mayer-Simeth,Dieter Mayer-Simeth,https://hoerspiele.dra.de/detailansicht/1371074,"When George Tabori writes or directs a play, the doubters and evil-doers are not far away. That was the case with ""Cannibals"" in Berlin in 1969, and 18 years later it was still the same."
25,Baal Babylon,1989,07.03.1989,DRA,Radio Bremen / Saarländischer Rundfunk,Autobiographical lives,adaptation,Hörspielbearbeitung,Fernando Arrabal,author; director,Fernando Arrabal,Norbert Schaeffer,https://hoerspiele.dra.de/detailansicht/1371238,"The Spanish poet Fernando Arrabal, born in Melilla in Spanish Morocco in 1932, wrote an artistic autobiography with ""Baal Babylon"". His father, a painter, was arrested by the military on the eve of the Spanish Civil War, possibly denounced as a 'Red' by his wife."
26,Mein Spaziergang nach Syrakus - Briefe an einen Freund (2. Teil: Annäherungen),1985,14.05.1985,DRA,RIAS Berlin,Based on letters,other,Hörspiel,Jürgen Liebing in dialogue with Johann Gottfried Seume,author; traveler,Jürgen Liebing,Bärbel Jarchow,https://hoerspiele.dra.de/detailansicht/1371889,"Over 180 years after the poet Johann Gottfried Seume made his famous ""walk to Syracuse"" on Schuster's horse, the Berlin author Jürgen Liebing set out to cover several thousand kilometers on foot in Seume's footsteps, on what is now a ""walk"" to Syracuse in Sicily."
27,New York City,1984,17.04.1984,DRA,Westdeutscher Rundfunk,Sound art,other,Hörspiel,New York City / New Yorkers,place; collective,Richard Kostelanetz,Richard Kostelanetz,https://hoerspiele.dra.de/detailansicht/1371603,"""Originally I wanted to write an 'audio chamber symphony' comparable to Dylan Thomas' 'Under Milk Wood' (1953) - a loving portrait of the city where I was born, grew up and lived in my entire life."
28,Mein Spaziergang nach Syrakus - Briefe an einen Freund (1. Teil: Entfernungen),1985,13.05.1985,DRA,RIAS Berlin,Based on letters,other,Hörspiel,Jürgen Liebing in dialogue with Johann Gottfried Seume,author; traveler,Jürgen Liebing,Bärbel Jarchow,https://hoerspiele.dra.de/detailansicht/1371888,"Over 180 years after the poet Johann Gottfried Seume made his famous ""walk to Syracuse"" on Schuster's horse, the Berlin author Jürgen Liebing set out to cover several thousand kilometers on foot in Seume's footsteps, on what is now a ""walk"" to Syracuse in Sicily."
29,Franz Kafka hört noch immer Radio und telefoniert mit schönen Frauen. Porträt eines Mannes vor dem Sterben,1985,11.07.1985,DRA,Südwestfunk,Biofiction,original radio play,Originalhörspiel,Franz Kafka,author,Elmar Podlech,Bernd Lau,https://hoerspiele.dra.de/detailansicht/1372064,"""Who would have thought it would be an event of the century in our family,"" says the son of a centenarian in whom the media is interested."
30,Fred von Hoerschelmann - Zum 10. Todestag des Hörspielautors,1986,17.06.1986,DRA,Bayerischer Rundfunk,Biography,other,Hörspiel,Fred von Hoerschelmann,author,Dieter Hasselblatt,Dieter Hasselblatt,https://hoerspiele.dra.de/detailansicht/1372247,"An essay on the 10th anniversary of Fred von Hoerschelmann's death, with excerpts from four of his radio works and two interviews."
31,Der Rundfunkmann Ernst Schnabel,1986,25.07.1986,DRA,Bayerischer Rundfunk,Biography,other,Kurzhörspiel,Ernst Schnabel,author; director,Karl Karst,Karl Karst,https://hoerspiele.dra.de/detailansicht/1372252,"Ernst Schnabel, the writer and radio author, the literary supporter and director of the early Hamburg radio, died in Berlin in January of this year at the age of 72."
32,Ein Schmuck für Momente - Helmut Käutner und das Hörspiel,1986,19.12.1986,DRA,Bayerischer Rundfunk,Biography,other,Hörspiel,Helmut Käutner,director; actor,Wolfram Wessels,Wolfram Wessels,https://hoerspiele.dra.de/detailansicht/1372270,It is well known that Helmut Käutner is one of the most famous directors of German film. Only a few people know that he was also successful in the theater. But hardly anyone knows that he also gave important impulses to post-war radio works.
33,Die Straße nach Lushoto. Tanzania - Notizen aus meinem Tagebuch,1976,24.01.1976,DRA,RIAS Berlin,Based on diaries,other,Hörspiel,European-African cooperation around the LIDEP project,collective; ordinary person,Gisela Albrecht,Robert Matejka,https://hoerspiele.dra.de/detailansicht/1372504,"""The Road to Lushoto"" is an admittedly subjective attempt to present the problem of cooperation between Europeans and Africans using the development project LIDEP (Lushoto - Integrated Development Project) with conversations and observations."
34,Lady sings the Blues. Billie Holiday erinnert sich,1991,27.12.1991,DRA,Radio Bremen,Autobiographical lives,adaptation,Hörspielbearbeitung,Billie Holiday,musician; woman,Billie Holiday,Stefan Hardt,https://hoerspiele.dra.de/detailansicht/1372907,"For many, Billie Holiday is the jazz singer of all time. A name that is synonymous with everything that jazz expresses: pride, suffering, anger, elegance, racism and excess."
35,Anonyme Briefe,1950,31.03.1950,DRA,Bayerischer Rundfunk,Based on letters,original radio play,Originalhörspiel,Students at an acting school,actor; collective,Annemarie Artinger,Heinz-Günter Stamm,https://hoerspiele.dra.de/detailansicht/1372532,"A radio work dedicated to young artists. It takes us into the milieu of a drama school, and the concern of the eleven is at the same time the concern of young people in our time: finding the right start in their chosen profession."
36,Briefe an Olga,1991,08.10.1991,DRA,Westdeutscher Rundfunk,Based on letters,sound art,"Hörspielbearbeitung, Ars acustica",Václav Havel,author; politician,Václav Havel,Petr Kotík,https://hoerspiele.dra.de/detailansicht/1373260,"The Czech poet and President of the CSFR wrote his ""Letters to Olga"" to his wife during his prison time as a civil rights activist in the late 1970s and early 1980s."
37,Familienpackung,1989,28.03.1989,DRA,Westdeutscher Rundfunk,Biofiction,other,"Kurzhörspiel, Kinderhörspiel",Johann Christoph,fictional character; ordinary person,Gudrun Mebs,Klaus-Dieter Pittrich,https://hoerspiele.dra.de/detailansicht/1374699,"""The Family Trip or Johann Christoph's Suffering"" is how the main character would probably title his autobiography. His parents called him Johann Christoph, and his sister is called Purzel, usually Purzelchen."
38,Aus dem Tagebuch der Anne Frank,1989,12.06.1989,DRA,Süddeutscher Rundfunk / Südwestfunk / Saarländischer Rundfunk,Based on diaries,adaptation,"Hörspielbearbeitung, Kurzhörspiel, Kinderhörspiel",Anne Frank,author; woman,Anne Frank,Detlef Ihnken,https://hoerspiele.dra.de/detailansicht/1374444,"A radio work based on The Diary of Anne Frank (prose) text adaptation: Gabriele Finger-Hoffmann, Bettina Wenke."
39,Der Autor Hartmut Geerken,1990,16.02.1990,DRA,Bayerischer Rundfunk,Biography,portrait,Porträt,Hartmut Geerken,author; artist,Klaus Peter Harmening,Klaus Peter Harmening,https://hoerspiele.dra.de/detailansicht/1374721,"Portrait of the author Hartmut Geerken following the radio work ""no red faa, because the words were never spoken""."
40,Jean Anouilh zum 80. Geburtstag: Majestät des Boulevard - Porträt,1990,23.06.1990,DRA,Bayerischer Rundfunk,Biography,portrait,Porträt,Jean Anouilh,author,Thomas Thieringer; Wilfried Geldner,Christoph Lindenmeyer,https://hoerspiele.dra.de/detailansicht/1374736,"The Bavarian Radio radio work department paid tribute to the French playwright Jean Anouilh on his 80th birthday with a special broadcast. Many of his dramas have also been adapted for radio; like ""Antigone"", they are now among the classics of German radio work history."
41,Briefe an Franz Pawell,1990,04.12.1990,DRA,Radio Bremen,Based on letters,other,Hörspiel,Franz Pawell,ordinary person,Adolf Schröder,Gerhard Willert,https://hoerspiele.dra.de/detailansicht/1374916,"Two Germanys have become one Germany again. Franz Pawell comes to this new Germany, someone who suffered greatly under the old Germany."
42,"Pioniere der Radiokunst (9. Folge: ... ""Quer zum Betrieb der Kulturindustrie"")",1986,06.09.1986,DRA,Südwestfunk,Sound art,portrait,Porträt,Ernst Schoen,director; radio artist,August Soppe,Johannes Hertel,https://hoerspiele.dra.de/detailansicht/1375730,"In 1931 a magazine wrote: ""The avant-gardists of radio are based in Frankfurt... much of what, one might say, has become a standardized part of German programs today was discovered here."" At that time, the artistic director of the Südwestdeutscher Rundfunk in Frankfurt was Ernst Schoen."
43,Bodo Katzenbergers Tagebuch,1986,17.05.1986,DRA,Westdeutscher Rundfunk,Based on diaries,other,Hörspiel,Bodo Katzenberger,fictional character; ordinary person,Marion Mosell,Angeli Backhausen,https://hoerspiele.dra.de/detailansicht/1375816,"The student Bodo Katzenberger is quite slack. Since his father moved in with a girlfriend, the mood has been broken. The mother simply cannot cope with the situation."
44,Porträt,1986,10.06.1986,DRA,Westdeutscher Rundfunk,Biofiction,other,Hörspiel,"An unnamed deceased man as remembered by wife, daughter, and granddaughter",ordinary person,Irene Oppenheim,Kaye Mortley,https://hoerspiele.dra.de/detailansicht/1375822,"""Portrait"" by Irene Oppenheim: A man dies. - for his wife - for his daughter - for his granddaughter - everyone witnesses his death. - his body - his razor - his clothes - his existence - that must be eliminated."
45,Vier Briefe aus Amerika,1986,16.10.1986,DRA,Westdeutscher Rundfunk,Based on letters,other,Hörspiel,Josef Kraus,ordinary person,Konrad Wühr,Frank Hübner,https://hoerspiele.dra.de/detailansicht/1375861,"Colorado/USA, end of last century. Josef Kraus, who emigrated from Bavaria to the States after a falling out with his parents, who were against his marriage to the maid Katharina, was not lucky abroad."
46,Per Einschreiben,1987,02.08.1987,DRA,Deutsche Welle,Based on letters,original radio play,"Originalhörspiel, Kurzhörspiel",Elli and Karli,ordinary person,Eva Maria Mudrich,Tibor von Peterdy,https://hoerspiele.dra.de/detailansicht/1375962,"The radio work is about two people, Elli and Karli, who for a long time, without meeting each other in person, only write letters, express their intentions to get married in their correspondence, but in the end Elli becomes friends with the postman."
47,Das Tagebuch der Redegonda,1987,27.09.1987,DRA,Südwestfunk,Based on diaries,adaptation,"Hörspielbearbeitung, Kurzhörspiel",Dr. Gottfried Wehwald and Redegonda,fictional character; professional,Arthur Schnitzler,Hermann Naber,https://hoerspiele.dra.de/detailansicht/1376346,"The concept intern Dr. Gottfried Wehwald was a young man of good manners, even a certain nobility of demeanor, which seemed to at least give him a constant, quiet satisfaction."
48,Walter Ruttmann - der Visionär bewegter Rhythmen,1987,08.05.1987,DRA,Bayerischer Rundfunk,Biography,other,Hörspiel,Walter Ruttmann,director; artist,Jeanpaul Goergen,Irene Schuck,https://hoerspiele.dra.de/detailansicht/1375917,"Walter Ruttmann (1887-1941) made film and radio history in many ways. In the 1920s he founded abstract film with ""Lichtspiel OPUS 1"", produced the first colored advertising films and, with his productions, influenced the style of montage in films and radio works."
49,Das akustische Tagebuch,1987,30.06.1987,DRA,Sender Freies Berlin,Sound art,other,Hörspiel,Ronald Steckel,author; sound artist,Ronald Steckel,Ronald Steckel,https://hoerspiele.dra.de/detailansicht/1376147,"THE ACOUSTIC DIARY is an anthology of some of the sounds that have been created in my work with tapes over the last fifteen years. I assembled them into acoustic landscapes populated by human and non-human, natural and imaginary voices."
50,C'era una volta il west oder Alte Briefe aus Amerika,1986,18.10.1986,DRA,Westdeutscher Rundfunk,Based on letters,other,Kurzhörspiel,Karl,ordinary person,Reinhard Döhl,Hans Gerd Krogmann,https://hoerspiele.dra.de/detailansicht/1375863,"Because a maid had a child by him, young Karl was sent to America. From there he writes clumsy letters to his parents in Bavaria, the content of which doesn't really fit with the Wild West pathos and deer-killer romanticism of the time."
51,Ein Cäsar wäre ich sehr gerne gewesen - Monolog eines Mörders,1996,23.06.1996,DRA,Süddeutscher Rundfunk,Autobiographical lives,adaptation,"Hörspielbearbeitung, Monolog",Ernst Wagner,ordinary person; criminal,Ernst Wagner; Horst Brandstätter; Bernd Neuzner,Heinz von Cramer,https://hoerspiele.dra.de/detailansicht/1377165,"As a teacher, he lived with his family in Radelstetten, a village on the edge of the Swabian Alb, and then as a main teacher in Stuttgart-Degerloch."
52,Anti. Ein Rainer-Werner-Fassbinder-Porträt,1992,05.06.1992,DRA,Bayerischer Rundfunk,Biography,portrait,Porträt,Rainer Werner Fassbinder,director; actor; artist,Carl-Ludwig Reichert,Carl-Ludwig Reichert,https://hoerspiele.dra.de/detailansicht/1377516,"The portrait of an experimental film-maker using the means of radio work could not be conventional. So we worked with the latest available techniques (sampling) as well as modern methods of hard editing, collage and montage."
53,Und der Haifisch... . Mackie Messer erzählt aus seinem Leben. Porträt Wolf Kaiser,1992,22.10.1992,DRA,Mitteldeutscher Rundfunk,Biography,portrait,Porträt,Wolf Kaiser,actor,Michael Trabitzsch,Michael Trabitzsch,https://hoerspiele.dra.de/detailansicht/1377586,"Wolf Kaiser, who was born on October 26, 1916 in Frankfurt am Main, grew up in Switzerland, studied chemistry and physiology, worked as a waiter and took acting lessons from Margarethe Wellhoener in Berlin from 1939 - 41."
54,"""Ich war irgendwie der erste Existentialist""",1992,22.04.1992,DRA,Bayerischer Rundfunk,Biography,portrait,Porträt,Richard Huelsenbeck,author; artist,Herbert Kapfer; Regina Moths,Herbert Kapfer; Regina Moths,https://hoerspiele.dra.de/detailansicht/1377511,"The writer Richard Huelsenbeck caused a stir with aggressive performances - first in Zurich's ""Cabaret Voltaire"" in 1916, and after the end of the First World War in Berlin."
55,Tagebuch einer heimlichen Symmetrie,1992,22.03.1992,DRA,Saarländischer Rundfunk,Based on diaries,adaptation,Hörspielbearbeitung,"Sabina Spielrein, Carl Gustav Jung, and Sigmund Freud",scholar; doctor; author; woman,Sigmund Freud; Carl Gustav Jung; Sabina Spielrein,Christiane Ohaus,https://hoerspiele.dra.de/detailansicht/1377773,"""Small laboratory explosions can never be avoided given the nature of the material we work with."" - A little word of consolation from Sigmund Freud to his student and future colleague Carl Gustav Jung."
56,Zazie und der lange Kerl im Autobus S,1992,14.10.1992,DRA,Saarländischer Rundfunk,Biography,feature / documentary,Feature,Raymond Queneau,author,Anette Kührmeyer,Stefanie Hoster,https://hoerspiele.dra.de/detailansicht/1377781,"Raymond Queneau, this French all-round writer, is best known in Germany for the book and film ""Zazie in the Métro"". The style exercises are also very popular."
57,"Das wilde Geheul unserer täglichen Arbeit oder Komm heraus, du Schönheit von Mülheim (3. Teil: Briefe an Irina - Eine Erinnerung)",1992,28.03.1992,DRA,Westdeutscher Rundfunk,Based on letters,original radio play,Originalhörspiel,Irina,woman,Stephan Bock,Frank-Erich Hübner,https://hoerspiele.dra.de/detailansicht/1378082,From the Ruhr area by Bertolt Brecht. A historical report See part 2.
58,Der verliebte Antierotiker - Ein unbekanntes Kapitel aus dem Leben des Dichters Paul Scheerbart (1. Teil),1993,13.01.1993,DRA,Bayerischer Rundfunk,Autobiographical lives,adaptation,"Hörspielbearbeitung, Monolog",Paul Scheerbart,author,Paul Scheerbart,Hartmut Geerken,https://hoerspiele.dra.de/detailansicht/1378087,"""The writer Paul Scheerbart (1863-1915), who dreamed of life in a glass house and union with celestial bodies, portrayed himself in his books as a staunch despiser of eroticism."
59,Die lange Weile der Briefe danach,1992,12.09.1992,DRA,Westdeutscher Rundfunk,Based on letters,other,Hörspiel,Levin von Alversfeldt,businessperson; ordinary person,Winfried Pielow,Georg Bühren,https://hoerspiele.dra.de/detailansicht/1377966,"He is said to have made a pilgrimage to Ermenoville, the ""coal baron"" Levin von Alversfeldt, to the last asylum of his great role model Jean-Jacques Rousseau. The tough early capitalist is oh so tender in his infatuation with his idol."
60,Andy Warhol: Das Tagebuch (1976),1993,12.01.1993,DRA,Südwestfunk,Based on diaries,adaptation,"Hörspielbearbeitung, Kurzhörspiel",Andy Warhol,artist; author,Andy Warhol,Norbert Schaeffer,https://hoerspiele.dra.de/detailansicht/1378286,"""In the fall of 1976, Andy and I began our morning telephone conversations. Ostensibly, the purpose was to record what he had done, where he had been the day before, and how much cash he had spent."
61,Autobiographie einer Leiche,1993,10.01.1993,DRA,Radio Bremen,Biofiction,original radio play,Originalhörspiel,Linda Brodsky,fictional character; woman,Gabriele Jelle Behnert,Hans Helge Ott,https://hoerspiele.dra.de/detailansicht/1378202,"All we know for sure is that Brodsky's wife Linda is dead and has written a book from the grave - if Brodsky is telling the truth. If not, we have to stick to the media; Press, radio, film and theater have history under control."
62,Andy Warhol: Das Tagebuch (1977),1993,19.01.1993,DRA,Südwestfunk,Based on diaries,adaptation,"Hörspielbearbeitung, Kurzhörspiel",Andy Warhol,artist; author,Andy Warhol,Norbert Schaeffer,https://hoerspiele.dra.de/detailansicht/1378287,"""In the fall of 1976, Andy and I began our morning telephone conversations. Ostensibly, the purpose was to record what he had done, where he had been the day before, and how much cash he had spent."
63,Andy Warhol: Das Tagebuch (1978),1993,26.01.1993,DRA,Südwestfunk,Based on diaries,adaptation,"Hörspielbearbeitung, Kurzhörspiel",Andy Warhol,artist; author,Andy Warhol,Norbert Schaeffer,https://hoerspiele.dra.de/detailansicht/1378288,"""In the fall of 1976, Andy and I began our morning telephone conversations. Ostensibly, the purpose was to record what he had done, where he had been the day before, and how much cash he had spent."
64,Andy Warhol: Das Tagebuch (1979),1993,02.02.1993,DRA,Südwestfunk,Based on diaries,adaptation,"Hörspielbearbeitung, Kurzhörspiel",Andy Warhol,artist; author,Andy Warhol,Norbert Schaeffer,https://hoerspiele.dra.de/detailansicht/1378289,"""In the fall of 1976, Andy and I began our morning telephone conversations. Ostensibly, the purpose was to record what he had done, where he had been the day before, and how much cash he had spent."
65,Andy Warhol: Das Tagebuch (1980),1993,09.02.1993,DRA,Südwestfunk,Based on diaries,adaptation,"Hörspielbearbeitung, Kurzhörspiel",Andy Warhol,artist; author,Andy Warhol,Norbert Schaeffer,https://hoerspiele.dra.de/detailansicht/1378290,"""In the fall of 1976, Andy and I began our morning telephone conversations. Ostensibly, the purpose was to record what he had done, where he had been the day before, and how much cash he had spent."
66,Andy Warhol: Das Tagebuch (1982),1993,23.02.1993,DRA,Südwestfunk,Based on diaries,adaptation,"Hörspielbearbeitung, Kurzhörspiel",Andy Warhol,artist; author,Andy Warhol,Norbert Schaeffer,https://hoerspiele.dra.de/detailansicht/1378292,"""In the fall of 1976, Andy and I began our morning telephone conversations. Ostensibly, the purpose was to record what he had done, where he had been the day before, and how much cash he had spent."
67,Andy Warhol: Das Tagebuch (1983),1993,02.03.1993,DRA,Südwestfunk,Based on diaries,adaptation,"Hörspielbearbeitung, Kurzhörspiel",Andy Warhol,artist; author,Andy Warhol,Norbert Schaeffer,https://hoerspiele.dra.de/detailansicht/1378293,"""In the fall of 1976, Andy and I began our morning telephone conversations. Ostensibly, the purpose was to record what he had done, where he had been the day before, and how much cash he had spent."
